id,file,setCode,number,promoGrouping,rarity,bordered_empirical,ok,reason,axis_x,sym_score,area,cx,cy,top_y,bot_y,left_x,right_x,bbox_cx,polarity,txt_ok,txt_reason,txt_top,txt_bot,txt_mid
1-122,images/1-122.jpg,1,122,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9999,2009.4491,1993.2245
1-123,images/1-123.jpg,1,123,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.968,2009.3784,1993.1732
1-124,images/1-124.jpg,1,124,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.1895,2009.3085,1993.249
1-125,images/1-125.jpg,1,125,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1976.8081,2009.3789,1993.0935
1-126,images/1-126.jpg,1,126,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1977.0809,2009.3786,1993.2297
1-127,images/1-127.jpg,1,127,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.7779,2009.3701,1993.074
1-128,images/1-128.jpg,1,128,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.9958,2009.3719,1993.1839
1-129,images/1-129.jpg,1,129,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9211,2009.3971,1993.1591
1-13,images/1-13.jpg,1,13,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9277,2009.305,1993.1164
1-13-P1,images/1-13-P1.jpg,1,13,P1,Special,True,True,,734.125,0.8476,5879,733.958,1968.226,1923,2014,688,779,733.5,bright,True,,1976.7573,2009.1887,1992.973
1-130,images/1-130.jpg,1,130,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1976.9411,2009.2844,1993.1127
1-131,images/1-131.jpg,1,131,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9172,2009.3132,1993.1152
1-132,images/1-132.jpg,1,132,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9676,2009.3793,1993.1735
1-133,images/1-133.jpg,1,133,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9584,2009.2806,1993.1195
1-134,images/1-134.jpg,1,134,,Rare,True,True,,733.677,0.9891,4137,733.829,1980.049,1928,2007,686,782,734.0,bright,True,,1977.1965,2009.1777,1993.1871
1-135,images/1-135.jpg,1,135,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1976.8063,2009.2797,1993.043
1-136,images/1-136.jpg,1,136,,Rare,True,True,,733.677,0.9891,4137,733.829,1980.049,1928,2007,686,782,734.0,bright,True,,1977.0426,2009.2822,1993.1624
1-137,images/1-137.jpg,1,137,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.7767,2009.2582,1993.0174
1-138,images/1-138.jpg,1,138,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9638,2009.2732,1993.1185
1-139,images/1-139.jpg,1,139,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.9332,2009.2828,1993.108
1-14,images/1-14.jpg,1,14,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1977.3459,2009.1597,1993.2528
1-140,images/1-140.jpg,1,140,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.2725,2009.1435,1993.208
1-141,images/1-141.jpg,1,141,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.2708,2009.1731,1993.222
1-142,images/1-142.jpg,1,142,,Legendary,True,True,,733.546,0.9926,5523,733.491,1969.613,1924,2008,689,778,733.5,bright,True,,1977.1139,2009.3206,1993.2172
1-143,images/1-143.jpg,1,143,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.2012,2009.1791,1993.1902
1-144,images/1-144.jpg,1,144,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.6951,2009.0547,1993.3749
1-145,images/1-145.jpg,1,145,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9215,2009.1739,1993.0477
1-146,images/1-146.jpg,1,146,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.4847,2009.1448,1993.3148
1-147,images/1-147.jpg,1,147,,Legendary,True,True,,733.572,0.9965,5477,733.605,1969.6,1924,2008,689,778,733.5,bright,True,,1976.8735,2009.1724,1993.023
1-148,images/1-148.jpg,1,148,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.2582,2009.151,1993.2046
1-149,images/1-149.jpg,1,149,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1977.1963,2009.1581,1993.1772
1-15,images/1-15.jpg,1,15,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.7678,2009.3002,1993.034
1-150,images/1-150.jpg,1,150,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.7914,2009.2823,1993.0369
1-151,images/1-151.jpg,1,151,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1976.7695,2009.3103,1993.0399
1-152,images/1-152.jpg,1,152,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1976.8141,2009.3782,1993.0962
1-153,images/1-153.jpg,1,153,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.8052,2009.2787,1993.042
1-154,images/1-154.jpg,1,154,,Common,True,True,,733.57,0.9848,4484,733.609,1968.062,1930,2005,696,771,733.5,bright,True,,1976.9209,2009.1734,1993.0471
1-155,images/1-155.jpg,1,155,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.697,2009.2708,1992.9839
1-156,images/1-156.jpg,1,156,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.8504,2009.2801,1993.0652
1-157,images/1-157.jpg,1,157,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.6807,2009.2467,1992.9637
1-158,images/1-158.jpg,1,158,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1976.8103,2009.2682,1993.0393
1-159,images/1-159.jpg,1,159,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.7954,2009.27,1993.0327
1-16,images/1-16.jpg,1,16,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1977.1225,2009.2685,1993.1955
1-160,images/1-160.jpg,1,160,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.0707,2009.2564,1993.1636
1-161,images/1-161.jpg,1,161,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.0679,2009.2771,1993.1725
1-162,images/1-162.jpg,1,162,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1977.0836,2009.3799,1993.2318
1-163,images/1-163.jpg,1,163,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1977.0473,2009.284,1993.1657
1-164,images/1-164.jpg,1,164,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1977.4797,2009.1455,1993.3126
1-165,images/1-165.jpg,1,165,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.8468,2009.281,1993.0639
1-166,images/1-166.jpg,1,166,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1977.275,2009.2544,1993.2647
1-167,images/1-167.jpg,1,167,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1976.7987,2009.2786,1993.0387
1-168,images/1-168.jpg,1,168,,Rare,True,True,,733.668,0.991,4129,733.774,1980.069,1928,2007,686,782,734.0,bright,True,,1977.1067,2009.2547,1993.1807
1-169,images/1-169.jpg,1,169,,Common,True,True,,733.581,0.9848,4486,733.63,1968.062,1930,2005,696,771,733.5,bright,True,,1977.0186,2009.2749,1993.1467
1-17,images/1-17.jpg,1,17,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.7339,2009.2948,1993.0143
1-170,images/1-170.jpg,1,170,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1976.7832,2009.2518,1993.0175
1-171,images/1-171.jpg,1,171,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.7353,2009.305,1993.0202
1-172,images/1-172.jpg,1,172,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.7778,2009.3725,1993.0752
1-173,images/1-173.jpg,1,173,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.7769,2009.2557,1993.0163
1-174,images/1-174.jpg,1,174,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.8707,2009.1689,1993.0198
1-175,images/1-175.jpg,1,175,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.6842,2009.243,1992.9636
1-176,images/1-176.jpg,1,176,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.8005,2009.2768,1993.0387
1-177,images/1-177.jpg,1,177,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.677,2009.2188,1992.9479
1-178,images/1-178.jpg,1,178,,Legendary,True,True,,733.572,0.9965,5477,733.607,1969.601,1924,2008,689,778,733.5,bright,True,,1976.7775,2009.2616,1993.0195
1-179,images/1-179.jpg,1,179,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.7734,2009.2477,1993.0106
1-18,images/1-18.jpg,1,18,,Legendary,True,True,,733.572,0.9965,5477,733.607,1969.601,1924,2008,689,778,733.5,bright,True,,1976.9701,2009.2732,1993.1217
1-180,images/1-180.jpg,1,180,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.9836,2009.2545,1993.1191
1-181,images/1-181.jpg,1,181,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9496,2009.2812,1993.1154
1-182,images/1-182.jpg,1,182,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9915,2009.3732,1993.1823
1-183,images/1-183.jpg,1,183,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9643,2009.2762,1993.1202
1-184,images/1-184.jpg,1,184,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.2636,2009.1502,1993.2069
1-185,images/1-185.jpg,1,185,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1976.8071,2009.273,1993.04
1-186,images/1-186.jpg,1,186,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1977.1099,2009.2482,1993.1791
1-187,images/1-187.jpg,1,187,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.782,2009.2562,1993.0191
1-188,images/1-188.jpg,1,188,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9917,2009.2499,1993.1208
1-189,images/1-189.jpg,1,189,,Rare,True,True,,733.677,0.9891,4135,733.831,1980.069,1928,2007,686,782,734.0,bright,True,,1976.9503,2009.2669,1993.1086
1-19,images/1-19.jpg,1,19,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9287,2009.2891,1993.1089
1-190,images/1-190.jpg,1,190,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1976.9253,2009.2753,1993.1003
1-191,images/1-191.jpg,1,191,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9059,2009.3008,1993.1034
1-192,images/1-192.jpg,1,192,,Legendary,True,True,,733.572,0.9965,5477,733.607,1969.601,1924,2008,689,778,733.5,bright,True,,1976.9169,2009.3995,1993.1582
1-193,images/1-193.jpg,1,193,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.9287,2009.2854,1993.1071
1-194,images/1-194.jpg,1,194,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.1908,2009.1596,1993.1752
1-195,images/1-195.jpg,1,195,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.7967,2009.2696,1993.0331
1-196,images/1-196.jpg,1,196,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.0122,2009.2731,1993.1426
1-197,images/1-197.jpg,1,197,,Common,True,True,,733.57,0.9848,4484,733.609,1968.062,1930,2005,696,771,733.5,bright,True,,1976.7711,2009.2468,1993.0089
1-198,images/1-198.jpg,1,198,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.952,2009.2638,1993.1079
1-199,images/1-199.jpg,1,199,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.9873,2009.2203,1993.1038
1-2,images/1-2.jpg,1,2,,Super Rare,True,True,,733.623,0.9919,3452,733.725,1966.878,1929,2007,694,774,734.0,bright,True,,1976.9596,2009.4149,1993.1872
1-2-C1,images/1-2-C1.jpg,1,2,C1,Special,False,True,,783.536,0.8805,43005,786.017,1935.708,1856,2031,611,913,762.0,bright,True,,1976.8695,2009.4323,1993.1509
1-2-P1,images/1-2-P1.jpg,1,2,P1,Special,True,True,,733.38,0.8695,5534,731.394,1971.933,1928,2004,676,791,733.5,bright,True,,1976.6905,2009.1581,1992.9243
1-20,images/1-20.jpg,1,20,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.9975,2009.3668,1993.1822
1-20-P1,images/1-20-P1.jpg,1,20,P1,Special,False,True,,734.9,0.8031,6444,736.385,1976.56,1923,2014,673,794,733.5,dark,True,,1976.7748,2009.31,1993.0424
1-200,images/1-200.jpg,1,200,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1977.0518,2009.3267,1993.1893
1-201,images/1-201.jpg,1,201,,Common,True,True,,733.581,0.9848,4486,733.63,1968.062,1930,2005,696,771,733.5,bright,True,,1976.9774,2009.3766,1993.177
1-202,images/1-202.jpg,1,202,,Uncommon,True,True,,733.52,0.9987,5265,733.506,1968.218,1929,2008,695,772,733.5,bright,True,,1977.0928,2009.4043,1993.2485
1-203,images/1-203.jpg,1,203,,Rare,True,True,,733.677,0.9891,4137,733.829,1980.049,1928,2007,686,782,734.0,bright,True,,1977.0597,2009.3319,1993.1958
1-204,images/1-204.jpg,1,204,,Rare,True,True,,733.677,0.9891,4137,733.829,1980.049,1928,2007,686,782,734.0,bright,True,,1977.2288,2009.2772,1993.253
1-205,images/1-205.jpg,1,205,,Enchanted,False,True,,733.605,0.9458,60105,741.488,1946.824,1856,2031,554,913,733.5,bright,True,,1976.881,2009.3285,1993.1048
1-206,images/1-206.jpg,1,206,,Enchanted,False,True,,733.5,1.0,63360,733.5,1943.5,1856,2031,554,913,733.5,bright,True,,1977.1697,2009.3323,1993.251
1-207,images/1-207.jpg,1,207,,Enchanted,False,True,,733.679,0.9893,5618,733.764,1968.647,1923,2014,694,774,734.0,bright,True,,1976.827,2009.3295,1993.0782
1-208,images/1-208.jpg,1,208,,Enchanted,False,True,,733.679,0.9893,5618,733.764,1968.647,1923,2014,694,774,734.0,bright,True,,1977.0851,2009.3208,1993.203
1-209,images/1-209.jpg,1,209,,Enchanted,False,True,,733.5,1.0,63360,733.5,1943.5,1856,2031,554,913,733.5,bright,True,,1976.9852,2009.3518,1993.1685
1-21,images/1-21.jpg,1,21,,Legendary,True,True,,733.572,0.9965,5477,733.607,1969.601,1924,2008,689,778,733.5,bright,True,,1976.9338,2009.4155,1993.1747
1-21-P1,images/1-21-P1.jpg,1,21,P1,Special,False,True,,704.5,0.8132,6702,713.169,1892.132,1874,1910,575,833,704.0,dark,True,,1976.7222,2009.3623,1993.0422
1-210,images/1-210.jpg,1,210,,Enchanted,False,True,,733.5,1.0,63360,733.5,1943.5,1856,2031,554,913,733.5,bright,True,,1976.9767,2009.3758,1993.1762
1-211,images/1-211.jpg,1,211,,Enchanted,False,True,,733.5,1.0,63360,733.5,1943.5,1856,2031,554,913,733.5,bright,True,,1976.9356,2009.4156,1993.1756
1-212,images/1-212.jpg,1,212,,Enchanted,False,True,,733.679,0.9893,5618,733.764,1968.647,1923,2014,694,774,734.0,bright,True,,1977.0047,2009.4494,1993.2271
1-213,images/1-213.jpg,1,213,,Enchanted,False,True,,733.553,0.8679,55481,747.6,1952.775,1856,2031,554,913,733.5,bright,True,,1976.9657,2009.3822,1993.174
1-214,images/1-214.jpg,1,214,,Enchanted,False,True,,733.775,0.9883,5652,733.805,1968.659,1923,2014,693,774,733.5,bright,True,,1977.116,2009.3205,1993.2183
1-215,images/1-215.jpg,1,215,,Enchanted,False,True,,733.679,0.9893,5618,733.764,1968.647,1923,2014,694,774,734.0,bright,True,,1976.8103,2009.3795,1993.0949
1-216,images/1-216.jpg,1,216,,Enchanted,False,True,,733.605,0.9763,61892,737.406,1944.885,1856,2031,554,913,733.5,bright,True,,1977.0765,2009.3787,1993.2276
1-22,images/1-22.jpg,1,22,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.0601,2009.4407,1993.2504
1-22-P1,images/1-22-P1.jpg,1,22,P1,Special,False,True,,735.042,0.8051,6440,736.365,1976.635,1924,2014,673,794,733.5,dark,True,,1976.7827,2009.4278,1993.1052
1-23,images/1-23.jpg,1,23,,Super Rare,True,True,,733.615,0.991,3449,733.716,1966.853,1929,2007,694,774,734.0,bright,True,,1977.0097,2009.367,1993.1883
1-23-P1,images/1-23-P1.jpg,1,23,P1,Special,False,True,,735.042,0.8051,6440,736.365,1976.635,1924,2014,673,794,733.5,dark,True,,1976.7727,2009.3157,1993.0442
1-24,images/1-24.jpg,1,24,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.2496,2009.298,1993.2738
1-24-P1,images/1-24-P1.jpg,1,24,P1,Special,True,True,,724.125,0.8783,5499,727.594,1967.519,1924,2011,689,779,734.0,bright,True,,1976.7897,2009.2946,1993.0421
1-25,images/1-25.jpg,1,25,,Uncommon,True,True,,733.524,0.9985,5264,733.5,1968.226,1929,2008,695,772,733.5,bright,True,,1976.8319,2009.3684,1993.1001
1-26,images/1-26.jpg,1,26,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.1222,2009.3739,1993.248
1-27,images/1-27.jpg,1,27,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1976.7706,2009.3764,1993.0735
1-28,images/1-28.jpg,1,28,,Common,True,True,,733.581,0.9851,4485,733.635,1968.069,1930,2005,696,771,733.5,bright,True,,1977.0009,2009.3686,1993.1848
1-29,images/1-29.jpg,1,29,,Rare,True,True,,733.677,0.991,4129,733.766,1980.054,1928,2007,686,782,734.0,bright,True,,1976.927,2009.4016,1993.1643
